key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FOXLAB_UNKNOWN_ELITE_NAME,Unregistered elite,Élite non répertoriée,漏网精英怪,未登録エリート,미등록 엘리트,漏網精英怪,Незарегистрированный элитник,Niezarejestrowany elitarny,Élite no registrada,Élite não registrado,Unregistrierter Elitegegner,Kayıtsız elit,Elite non registrato
HORDES_NAME,Enemy Hordes,Hordes ennemies,怪潮,エネミーホード,적 물결,怪潮,Вражеские орды,Fale wrogów,Hordas de Enemigos,Hordas Inimigas,Feindliche Horden,Düşman Sürüleri,Orde nemiche
CHARACTER_FOXLAB_JELLYFISH,Jellyfish,Méduse,水母,クラゲ,해파리,水母,Медуза,Meduza,Medusa,Água-viva,Qualle,Denizanası,Medusa
EFFECT_FOXLAB_WEAPON_CLASS_EXPLODE,{0} weapons explode on hit,Les armes {0} explosent à l'impact,使用{0}类武器命中时会爆炸,{0}系武器は命中時に爆発する,{0} 무기가 적중 시 폭발합니다,使用{0}類武器命中時會爆炸,Оружие класса {0} взрывается при попадании,Bronie {0} eksplodują przy trafieniu,Las armas {0} explotan al impactar,Armas {0} explodem ao acertar,{0}-Waffen explodieren bei Treffer,{0} silahları vuruşta patlar,Le armi {0} esplodono al colpo
STAT_FOXLAB_ARMOR_DODGE_HARVESTING,Armor/Dodge/Harvesting,Armure/Esquive/Récolte,护甲/闪避/收获,防御力/回避/収穫,방어구/회피/수확,盔甲/迴避/收穫,Броня/Уклонение/Сбор,Pancerz/Unik/Zbieranie,Armadura/Agilidad/Recolección,Armadura/Esquiva/Coleta,Rüstung/Ausweichen/Ernte,Zırh/Kaçınma/Toplama,Corazza/Schivata/Raccolta
CHARACTER_FOXLAB_PROGRAMMER,Programmer,Programmeur,程序员,プログラマー,프로그래머,程式設計師,Программист,Programista,Programador,Programador,Programmierer,Programcı,Programmatore
EFFECT_FOXLAB_PROGRAMMER,{0} {1} are used for enhancing structures at the end of a wave,{0} {1} sont utilisés pour améliorer les structures à la fin d'une vague,{0}{1}敌袭结束后用于增强构筑物,{0}{1}はウェーブ終了時に建造物の強化に使用される,{0} {1}은(는) 웨이브 종료 후 구조물 강화에 사용됩니다,{0}{1}敵襲結束後用於增強結構物,{0} {1} используются для усиления конструкций в конце волны,{0} {1} są używane do ulepszania konstrukcji na końcu fali,{0} {1} se usan para mejorar estructuras al final de una oleada,{0} {1} são usados para melhorar estruturas no final de uma onda,{0} {1} werden am Ende einer Welle zur Verstärkung von Strukturen verwendet,"{0} {1}, hücum sonunda yapıları güçlendirmek için kullanılır",{0} {1} vengono usati per potenziare le strutture alla fine di un'onda
EFFECT_FOXLAB_SPECIFIC_WEAPON_CLASS_PRICE,{0} price of {1} weapons,Prix {0} des armes {1},{0} {1}类武器价格,{0}{1}系武器の価格,{0} {1} 무기 가격,{0} {1}類武器價格,{0} цена оружия класса {1},{0} cena broni {1},{0} precio de armas {1},{0} preço de armas {1},{0} Preis von {1}-Waffen,{1} silahlarının {0} fiyatı,{0} prezzo delle armi {1}
EFFECT_FOXLAB_GAIN_STAT_END_OF_WAVE_DIFF,{0} {1} at the end of a wave ({3} since Wave {2}),{0} {1} à la fin d'une vague ({3} depuis la vague {2}),敌袭结束后{0}{1}（{2}波开始{3}）,ウェーブ終了時に{0}{1}（ウェーブ{2}から{3}）,웨이브 종료 후 {0} {1} ({2}웨이브부터 {3}),敵襲結束後{0}{1}（{2}波開始{3}）,{0} {1} в конце волны ({3} с волны {2}),{0} {1} na końcu fali ({3} od fali {2}),{0} {1} al final de una oleada ({3} desde la oleada {2}),{0} {1} no final de uma onda ({3} desde a Onda {2}),{0} {1} am Ende einer Welle ({3} seit Welle {2}),Bir hücum sonunda {0} {1} ({2}. hücumdan beri {3}),{0} {1} alla fine di un'onda ({3} dall'Onda {2})
EFFECT_FOXLAB_KEEP_LAST_TWO,Keep the last 2 digits if {1} goes below minus {3},Garder les 2 derniers chiffres si {1} descend en dessous de moins {3},{1}低于负{3}时，敌袭结束后保留低2位,{1}がマイナス{3}未満の場合、下2桁を保持,{1}이(가) -{3} 미만일 경우 웨이브 종료 후 마지막 2자리 수를 유지,{1}低於負{3}時，敵襲結束後保留低2位,Сохранить последние 2 цифры если {1} опускается ниже минус {3},Zachowaj ostatnie 2 cyfry,Mantener los últimos 2 dígitos si {1} baja de menos {3},Mantenha os últimos 2 dígitos se {1} cair abaixo de menos {3},Die letzten 2 Ziffern behalten wenn {1} unter minus {3} fällt,{1} eksi {3}'ün altına düşerse son 2 rakamı korunur,Mantieni le ultime 2 cifre se {1} scende sotto meno {3}
CHARACTER_FOXLAB_TURTLE,Turtle,Tortue,龟龟,カメ,거북이,龜龜,Черепаха,Żółw,Tortuga,Tartaruga,Schildkröte,Kaplumbağa,Tartaruga
ITEM_FOXLAB_TORTOISE_SHELL,Tortoise shell,Carapace de tortue,龟甲,亀甲,거북이 등껍질,龜甲,Панцирь черепахи,Pancerz żółwia,Caparazón de tortuga,Casco de tartaruga,Schildkrötenpanzer,Kaplumbağa Kabuğu,Guscio di tartaruga
STAT_FOXLAB_BASE_DAMAGE,Engineering and Melee/Ranged/Elemental Damage,Ingénierie et Dégâts de Mélée/À distance/Élémentaires,工程学和近战/远程/元素伤害,エンジニアリングと近接/遠距離/元素ダメージ,엔지니어링 및 근거리/원거리/원소 피해,工程學和近距離/範圍/屬性傷害,Инженерия и Ближний/Дальний/Элементальный урон,Inżynieria i Obrażenia Wręcz/Dystans/Żywiołowe,Ingeniería y Daño Cuerpo a Cuerpo/A Distancia/Elemental,Engenharia e Dano Corpo a Corpo/à Distância/Elemental,Technik und Nahkampf-/Fernkampf-/Elementarschaden,Mühendislik ve Yakın Saldırı/Menzilli Saldırı/Elemental Hasar,Ingegneria e Danno Corpo a Corpo/Distanza/Elementale
EFFECT_FOXLAB_ON_HIT_DOUBLE,"{0} {1}, {2} {3} when you take damage until the end of the wave","{0} {1}, {2} {3} quand vous subissez des dégâts jusqu'à la fin de la vague",受到攻击时，{0}{1}、{2}{3}直至敌袭结束,ダメージを受けるまで{0}{1}、{2}{3}し、ウェーブ終了まで持続,피해를 입을 때 웨이브가 끝날 때까지 {0} {1},受到攻擊時，{0}{1}、{2}{3}直至敵襲結束,"{0} {1}, {2} {3} при получении урона до конца волны","{0} {1}, {2} {3} gdy otrzymasz obrażenia do końca fali","{0} {1}, {2} {3} cuando recibes daño hasta el final de la oleada","{0} {1}, {2} {3} quando você sofre dano até o final da onda","{0} {1}, {2} {3} wenn du Schaden nimmst bis zum Ende der Welle","Hasar aldığında hücum sonuna kadar {0} {1}, {2} {3}","{0} {1}, {2} {3} quando subisci danni fino alla fine dell'onda"
CHARACTER_FOXLAB_RAMPAGING_VAGABOND,Rampaging Vagabond,Vagabond enragé,暴走流浪汉,暴走バガボンド,폭주 방랑자,暴走流浪漢,Буйный бродяга,Szalony Włóczęga,Vagabundo Furioso,Vagabundo Furioso,Tobender Vagabund,Zıp Zap Avare,Vagabondo Furioso
EFFECT_FOXLAB_VAGABOND_FRUIT_POS,{0} chance to enhance youself when you pick up a fruit,{0} chance de vous renforcer quand vous ramassez un fruit,捡起水果时有{0}概率增强自己,フルーツを拾った時{0}の確率で自身を強化する,과일을 주울 때 {0} 확률로 자신을 강화합니다,撿起水果時有{0}機率增強自己,{0} шанс усилить себя при подборе фрукта,{0} szans na wzmocnienie siebie po podniesieniu owocu,{0} probabilidad de mejorarte al recoger una fruta,{0} chance de se fortalecer ao pegar uma fruta,{0} Chance dich zu verstärken wenn du eine Frucht aufhebst,Bir meyveyi aldığında kendini güçlendirme şansı {0},{0} probabilità di potenziarti quando raccogli un frutto
EFFECT_FOXLAB_VAGABOND_FRUIT_NEG,{2} chance to make reroll or items more expensive when you pick up a fruit,{2} chance que le reroll ou les objets deviennent plus chers quand vous ramassez un fruit,捡起水果时有{2}概率使刷新和物品变贵,フルーツを拾った時{2}の確率でリロールやアイテムが高価になる,과일을 주울 때 {2} 확률로 초기화과 아이템이 비싸집니다,撿起水果時有{2}機率使重骰和物品變貴,{2} шанс что переброс или предметы станут дороже при подборе фрукта,{2} szans na podrożenie zmiany asortymentu i przedmiotów po podniesieniu owocu,{2} probabilidad de que reroll o los objetos sean más caros al recoger una fruta,{2} chance de tornar reroll ou itens mais caros ao pegar uma fruta,{2} Chance dass Neuwürfel oder Gegenstände teurer werden wenn du eine Frucht aufhebst,Bir meyveyi aldığında yenileme veya eşyaları pahalılaştırma şansı {2},{2} probabilità che reroll o oggetti diventino più costosi quando raccogli un frutto
EFFECT_FOXLAB_FOOD_PRICE,{0} price of some [color=#FF8C00]Food[/color] item,Prix {0} de certains objets [color=#FF8C00]Nourriture[/color],{0}部分[color=#FF8C00]食物类[/color]道具价格,{0}一部の[color=#FF8C00]食品系[/color]アイテムの価格,{0} 일부 [color=#FF8C00]음식[/color] 아이템 가격,{0}部分[color=#FF8C00]食物類[/color]道具價格,{0} цена некоторых [color=#FF8C00]Пищевых[/color] предметов,{0} cena niektórych przedmiotów typu [color=#FF8C00]Pożywienie[/color],{0} precio de algunos objetos de [color=#FF8C00]Comida[/color],{0} preço de alguns itens de [color=#FF8C00]Comida[/color],{0} Preis einiger [color=#FF8C00]Nahrungs[/color]-Gegenstände,Bazı [color=#FF8C00]Yiyecek[/color] eşyalarının {0} fiyatı,{0} prezzo di alcuni oggetti [color=#FF8C00]Cibo[/color]
CHARACTER_FOXLAB_MOM,Mother,Matriarche,鬼妈,マザー,어미,鬼媽,Матка,Matka,Madre,Mãe,Mutter,Anne,Madre
EFFECT_FOXLAB_NO_WEAPON_SLOTS,You have no weapon slot,Vous n'avez aucun emplacement d'arme,你没有武器栏,武器スロットがない,무기 슬롯이 없습니다,你沒有武器欄,У вас нет слотов для оружия,Nie masz slotu na broń,No tienes espacio de armas,Você não tem slot de arma,Du hast keinen Waffenslot,Hiç silah yuvan yok,Non hai slot per le armi
EFFECT_FOXLAB_MOM_LANDMINE_SPAWN,3 landmine pets ({0} near you) spawn every {1} seconds dealing {2} ({3}) damage in an area,3 familiers mines ({0} près de vous) apparaissent toutes les {1} secondes infligeant {2} ({3}) dégâts de zone,每{1}秒生成3个地雷宠物（其中{0}个在你附近），造成{2}（{3}）伤害,{1}秒ごとに3つの地雷ペット（うち{0}体が近くに）を生成し、範囲内に{2}（{3}）ダメージを与える,{1}초마다 3마리의 지뢰 펫({0}마리는 근처)이 생성되어 범위 내 {2} ({3}) 피해를 줍니다,每{1}秒生成3個地雷寵物（其中{0}個在你附近），造成{2}（{3}）傷害,3 питомца-мины ({0} рядом с вами) появляются каждые {1} секунд,3 miny-zwierzaki ({0} blisko ciebie) pojawiają się co {1} sekund,3 mascotas mina ({0} cerca de ti) aparecen cada {1} segundos infligiendo {2} ({3}) de daño en área,3 mascotes minas ({0} perto de você) surgem a cada {1} segundos causando {2} ({3}) de dano em área,3 Minen-Haustiere ({0} in deiner Nähe) erscheinen alle {1} Sekunden und verursachen {2} ({3}) Schaden in einem Bereich,"Her {1} saniyede 3 kara mayını evcil hayvanı ({0} tanesi yanında) oluşur, alanda {2} ({3}) hasar verir",3 mine mascotte ({0} vicino a te) appaiono ogni {1} secondi infliggendo {2} ({3}) danni ad area
CHARACTER_FOXLAB_TOXIC_HEALER,Toxic Healer,Soigneur toxique,毒奶,ポイズンヒーラー,독 힐러,毒奶,Токсичный целитель,Toksyczny Uzdrowiciel,Curandero Tóxico,Curandeiro Tóxico,Giftiger Heiler,Zehirli Şifacı,Guaritore Tossico
EFFECT_FOXLAB_HEALING_BETRAY,The medical turret [color=#FF8C00]betrays[/color] you and spawns its copy,Cette tourelle médicale vous [color=#FF8C00]trahit[/color] et engendre une copie,此医疗炮塔会[color=#FF8C00]叛变[/color]并召唤同伙,この医療タレットは[color=#FF8C00]裏切り[/color]、自身のコピーを生成する,이 의료 포탑은 [color=#FF8C00]배신[/color]하고 복제본을 소환합니다,此醫療砲台會[color=#FF8C00]叛變[/color]並召喚同夥,Лечебная турель [color=#FF8C00]предаёт[/color] вас и создаёт свою копию,Ta wieżyczka medyczna [color=#FF8C00]zdradza[/color] cię i przywołuje swoją kopię,Esta torreta médica te [color=#FF8C00]traiciona[/color] y genera una copia,A torreta médica [color=#FF8C00]te trai[/color] e gera uma cópia,Der Sanitätsgeschütz [color=#FF8C00]verrät[/color] dich und erschafft eine Kopie,Bu sağlık tareti [color=#FF8C00]ihanet eder[/color] ve bir kopyasını çağırır,La torretta medica ti [color=#FF8C00]tradisce[/color] e genera una copia
CHARACTER_FOXLAB_OLDER_SNIPER,Old Sniper,Vieux Snipeur,老狙神,老スナイパー,노스나이퍼,老狙神,Старый снайпер,Stary Snajper,Viejo Francotirador,Velho Sniper,Alter Scharfschütze,Yaşlı Nişancı,Vecchio Cecchino
EFFECT_FOXLAB_IGNORE_NEARBY_ENEMY,You can't attack enemies nearby directly,Vous ne pouvez pas attaquer directement les ennemis proches,你无法直接攻击附近的敌人,近くの敵を直接攻撃できない,근처의 적을 직접 공격할 수 없습니다,你無法直接攻擊附近的敵人,Вы не можете атаковать ближайших врагов напрямую,Nie możesz bezpośrednio atakować pobliskich wrogów,No puedes atacar directamente a enemigos cercanos,Você não pode atacar inimigos próximos diretamente,Du kannst nahe Gegner nicht direkt angreifen,Yakındaki düşmanlara doğrudan saldıramazsın,Non puoi attaccare direttamente i nemici vicini
CHARACTER_FOXLAB_CLAW_DRUID,Druid of Claw,Druide des Griffes,利爪德鲁伊,クロウドルイド,발톱 드루이드,利爪德魯伊,Друид Когтя,Druid Pazura,"Druida de Garras, ",Druida da Garra,Klaue des Druiden,Penekli Druvit,Druido dell'Artiglio
EFFECT_FOXLAB_INCREASE_DAMAGE_RECEIVED,Enemies hit take {0} more damage for {2} seconds (max: {3}),Les ennemis touchés subissent {0} dégâts supplémentaires pendant {2} secondes (max : {3}),敌人受伤后在{2}秒内额外承受{0}伤害（上限：{3}）,攻撃を受けた敵は{2}秒間さらに{0}ダメージを受ける（上限：{3}）,피해를 입은 적은 {2}초 동안 추가 {0} 피해를 받습니다 (최대: {3}),敵人受傷後在{2}秒內額外承受{0}傷害（上限：{3}）,Получившие удар враги получают на {0} больше урона в течение {2} секунд (макс: {3}),Trafieni wrogowie otrzymują {0} dodatkowych obrażeń przez {2} sekund (maks: {3}),Los enemigos golpeados reciben {0} más daño durante {2} segundos (máx: {3}),Inimigos atingidos sofrem {0} de dano a mais por {2} segundos (máx: {3}),Getroffene Gegner erleiden {0} mehr Schaden für {2} Sekunden (max: {3}),Vurulan düşmanlar {2} saniye boyunca {0} daha fazla hasar alır (maks: {3}),I nemici colpiti subiscono {0} danni in più per {2} secondi (max: {3})
CHARACTER_FOXLAB_ANTIMATTER,Antimatter,Antimatière,反物质,アンチマター,반물질,反物質,Антиматерия,Antymateria,Antimateria,Antimatéria,Antimaterie,Karşı Madde,Antimateria
FOXLAB_EXCEPT,(Except {0}),(Sauf {0}),（除{0}）,（{0}を除く）,({0} 제외),（除{0}）,(Кроме {0}),(Z wyjątkiem {0}),(Excepto {0}),(Exceto {0}),(Außer {0}),(Hariç {0}),(Eccetto {0})
STAT_FOXLAB_PRIMARY,Primary Stats,Stats principales,主属性,プライマリステータス,주요 스탯,主屬性,Основные характеристики,Statystyki Główne,Estadísticas Primarias,Stats Primários,Primäre Werte,Birincil İstatistikler,Statistiche Primarie
CHARACTER_FOXLAB_ARCHITECT,Architect,Architecte,架构师,アーキテクト,건축가,架構師,Архитектор,Architekt,Arquitecto,Arquiteto,Architekt,Mimar,Architetto
ITEM_FOXLAB_ARCHITECTURE_DIAGRAM,Architecture Diagram,Plan d'architecture,架构图,アーキテクチャ図,건축 도면,架構圖,Архитектурный чертёж,Schemat Architektury,Diagrama de Arquitectura,Diagrama Arquitetônico,Architekturdiagramm,Mimari Plan,Diagramma Architettonico
EFFECT_FOXLAB_MAX_WEAPONS,You have {0} weapon slots,Vous avez {0} emplacements d'arme,你有{0}个武器栏,武器スロットが{0}つある,{0}개의 무기 슬롯이 있습니다,你有{0}個武器欄,У вас {0} слотов для оружия,Masz {0} slotów na broń,Tienes {0} espacios de armas,Você tem {0} slots de arma,Du hast {0} Waffenslots,{0} silah yuvan var,Hai {0} slot per le armi
CHARACTER_FOXLAB_INFERNAL_MACHINE,Infernal Machine,Machine infernale,机械恶魔,インフェルナルマシン,지옥 기계,機械惡魔,Демон-машина,Piekielna Maszyna,Máquina Infernal,Máquina Infernal,Höllenmaschine,Cehennem Makinesi,Macchina Infernale
ITEM_FOXLAB_FUNNEL,Funnel,Funnel,浮游炮塔,ファンネルタレット,부유 포탑,浮游砲台,Парящая турель,Latająca Wieżyczka,Funnel,Funnel,Schwebeturm,Huni Taret,Funnel
EFFECT_FOXLAB_FUNNEL_SPAWN,One Funnel spawns every {1} seconds,Un Funnel apparaît toutes les {1} secondes,每{1}秒召唤一个浮游炮,{1}秒ごとにファンネルを1つ生成,{1}초마다 부유 포탑 1개가 생성됩니다,每{1}秒召喚一個浮游砲,Одна парящая турель появляется каждые {1} секунд,Jedna Latająca Wieżyczka pojawia się co {1} sekund,Un Funnel aparece cada {1} segundos,Um Funnel surge a cada {1} segundos,Ein Schwebeturm erscheint alle {1} Sekunden,Her {1} saniyede bir Huni oluşur,Un Funnel appare ogni {1} secondi
EFFECT_FOXLAB_FUNNEL,Spawns 2 Funnels dealing {0} ({1}) damage and slowing down nearby enemies,Engendre 2 Funnels infligeant {0} ({1}) dégâts et ralentissant les ennemis proches,生成2个浮游炮，造成{0}（{1}）伤害并使周围敌人减速,ファンネルを2つ生成し、{0}（{1}）ダメージを与え、周囲の敵を減速させる,부유 포탑 2개를 생성하여 {0} ({1}) 피해를 주고 주변 적을 감속시킵니다,生成2個浮游砲，造成{0}（{1}）傷害並使周圍敵人減速,Создаёт 2 парящие турели,Tworzy 2 Latające Wieżyczki zadające {0} ({1}) obrażeń i spowalniające pobliskich wrogów,Genera 2 Funnels infligiendo {0} ({1}) de daño y ralentizando a los enemigos cercanos,Gera 2 Funnels causando {0} ({1}) de dano e desacelerando inimigos próximos,Erschafft 2 Schwebetürme die {0} ({1}) Schaden verursachen und nahe Gegner verlangsamen,"2 Huni oluşur, {0} ({1}) hasar verir ve yakındaki düşmanları yavaşlatır",Genera 2 Funnel che infliggono {0} ({1}) danni e rallentano i nemici vicini
EFFECT_FOXLAB_CONVERT_STAT_END_OF_WAVE_EQUAL,{0} of your {1} are equivalently converted into {2} at the end of a wave,{0} de votre {1} sont convertis à parts égales en {2} à la fin d'une vague,{0}的{1}在敌袭结束后等量转换为{2},ウェーブ終了時に{0}の{1}が等量{2}に変換される,웨이브 종료 후 {1}의 {0}이(가) {2}(으)로 동등하게 전환됩니다,{0}的{1}在敵襲結束後等量轉換為{2},{0} ваших {1} эквивалентно конвертируются в {2} в конце волны,{0} twoich {1} jest równoważnie konwertowane na {2} na końcu fali,{0} de tu {1} se convierten equivalentemente en {2} al final de una oleada,{0} do seu {1} são convertidos de forma equivalente em {2} no final de uma onda,{0} deiner {1} werden am Ende einer Welle in {2} umgewandelt,Bir hücum sonunda {1}'nın {0}'ı eşit olarak {2}'ya dönüştürülür,{0} del tuo {1} vengono convertiti equivalentemente in {2} alla fine di un'onda
CHARACTER_FOXLAB_BALL,Ball,Boule,球球,ボール,공,球球,Шарик,Kulka,Bola,Bola,Kugel,Top,Palla
ITEM_FOXLAB_BALL_LIGHTNING_3,Ball Lightning (Ace),Éclair en boule (As),球状闪电・天,ボールライトニング・天,구형 번개・천,球狀閃電・天,Шаровая молния (Туз),Kulisty Piorun (As),Rayo Esférico (As),Relâmpago Globale (Ás),Kugelblitz (Ass),Küresel Yıldırım (As),Fulmine Globale (Asso)
ITEM_FOXLAB_BALL_LIGHTNING_2,Ball Lightning (King),Éclair en boule (Roi),球状闪电・地,ボールライトニング・地,구형 번개・지,球狀閃電・地,Шаровая молния (Король),Kulisty Piorun (Król),Rayo Esférico (Rey),Relâmpago Globale (Rei),Kugelblitz (König),Küresel Yıldırım (Kral),Fulmine Globale (Re)
ITEM_FOXLAB_BALL_LIGHTNING_1,Ball Lightning (Queen),Éclair en boule (Dame),球状闪电・玄,ボールライトニング・玄,구형 번개・현,球狀閃電・玄,Шаровая молния (Дама),Kulisty Piorun (Dama),Rayo Esférico (Reina),Relâmpago Globale (Rainha),Kugelblitz (Dame),Küresel Yıldırım (Kıraçe),Fulmine Globale (Regina)
ITEM_FOXLAB_BALL_LIGHTNING_0,Ball Lightning (Jack),Éclair en boule (Valet),球状闪电・黄,ボールライトニング・黄,구형 번개・황,球狀閃電・黃,Шаровая молния (Валет),Kulisty Piorun (Walet),Rayo Esférico (Jota),Relâmpago Globale (Valete),Kugelblitz (Bube),Küresel Yıldırım (Vale),Fulmine Globale (Fante)
